legacy_record_id                                                                                                                                                                                                                                                	DJZT                                                                                                                                                                                                                                                            	XMMC                                                                                                                                                                                                                                                            	DJBH                                                                                                                                                                                                                                                            	D_SCBSJS_BZSX                                                                                                                                                                                                                                                   	SY                                                                                                                                                                                                                                                              	BZR                                                                                                                                                                                                                                                             	RY                                                                                                                                                                                                                                                              	BZJE                                                                                                                                                                                                                                                            	JE                                                                                                                                                                                                                                                              	amount_total                                                                                                                                                                                                                                                    	LRR                                                                                                                                                                                                                                                             	LRSJ                                                                                                                                                                                                                                                            
00b6aa89c62041e6b803b630f0ba382b                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	BZ-20240926-001                                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2024-09-26T14:09:59                                                                                                                                                                                                                                             
0120265729f94e8bb8ba16eb64431cf5                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	BZ-20240510-001                                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	杨德胜                                                                                                                                                                                                                                                             	2024-05-10T09:11:37                                                                                                                                                                                                                                             
023a03562138489b811ef16d0e4b1107                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	ZFQR-20230221-003                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	1月3～4日。古蔺双沙分公司账户年检。                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	郑建华                                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	200.0000                                                                                                                                                                                                                                                        	200.0000                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                
06fbb7db8e304c4a94066f32853a03d7                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	BZ-20240801-001                                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	杨德胜                                                                                                                                                                                                                                                             	2024-08-01T10:04:06                                                                                                                                                                                                                                             
071cf48d40194791b05935bb7bf8579b                                                                                                                                                                                                                                	-1                                                                                                                                                                                                                                                              	公司综合平台                                                                                                                                                                                                                                                          	ZFQR-20230817-004                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	成都代理机构考察                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	杨德胜                                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	100.0000                                                                                                                                                                                                                                                        	100.0000                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                
07e47e4b95324c05860b5c3eb1302719                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	BZ-20231129-002                                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	杨德胜                                                                                                                                                                                                                                                             	2023-11-29T09:11:56                                                                                                                                                                                                                                             
0864573b543a44f28b9a52115e443954                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	BZ-20240812-001                                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2024-08-12T11:14:57                                                                                                                                                                                                                                             
0ca1631b67cf43a6b6b3922080f034be                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	ZFQR-20230216-001                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	2023.2.7成都补办CA,电话卡                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	杨德胜                                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	100.0000                                                                                                                                                                                                                                                        	100.0000                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                
1024d9ca859c41359fd8659ff5f90374                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	ZFQR-20230403-001                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	2023年3月30日易静工程出场（安全员）                                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	卢燕                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	50.0000                                                                                                                                                                                                                                                         	50.0000                                                                                                                                                                                                                                                         	卢燕                                                                                                                                                                                                                                                              	2023-04-03T11:20:00                                                                                                                                                                                                                                             
105d701b62964754837522d6c72b6add                                                                                                                                                                                                                                	-1                                                                                                                                                                                                                                                              	公司综合平台                                                                                                                                                                                                                                                          	BZ-20241008-001                                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2024-10-08T08:39:50                                                                                                                                                                                                                                             
1081b5836c654460889342a3d5c845fc                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	ZFQR-20230509-001                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	重庆璧山项目办理农民工专户                                                                                                                                                                                                                                                   	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	200.0000                                                                                                                                                                                                                                                        	200.0000                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                
16f79138105449ccbcb83f83855ea780                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	ZFQR-20230630-001                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	协助马尔康水务局处理事务                                                                                                                                                                                                                                                    	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	100.0000                                                                                                                                                                                                                                                        	100.0000                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                
18e820d6bf5947c0ad8e7b2767fb30a7                                                                                                                                                                                                                                	2                                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	ZFQR-20230221-001                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	2022.12.23日绵阳道碑观村桥梁项目出场                                                                                                                                                                                                                                         	                                                                                                                                                                                                                                                                	江一娇                                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	200.0000                                                                                                                                                                                                                                                        	200.0000                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                
